path,label,duration
Dataset\TESS\OAF_angry\OAF_back_angry.wav,angry,1.5390349799295486
Dataset\TESS\OAF_angry\OAF_bar_angry.wav,angry,1.6166134185303513
Dataset\TESS\OAF_angry\OAF_base_angry.wav,angry,1.5420250675841731
Dataset\TESS\OAF_angry\OAF_bath_angry.wav,angry,1.6068649135741788
Dataset\TESS\OAF_angry\OAF_bean_angry.wav,angry,1.3951830916687147
Dataset\TESS\OAF_angry\OAF_beg_angry.wav,angry,1.5461620381748178
Dataset\TESS\OAF_angry\OAF_bite_angry.wav,angry,1.4306135823707709
Dataset\TESS\OAF_angry\OAF_boat_angry.wav,angry,1.326574916031785
Dataset\TESS\OAF_angry\OAF_bone_angry.wav,angry,1.6654378635209306
Dataset\TESS\OAF_angry\OAF_book_angry.wav,angry,1.5300647169656754
Dataset\TESS\OAF_angry\OAF_bought_angry.wav,angry,1.4338084705496845
Dataset\TESS\OAF_angry\OAF_burn_angry.wav,angry,1.6866142377324487
Dataset\TESS\OAF_angry\OAF_cab_angry.wav,angry,1.457032850004096
Dataset\TESS\OAF_angry\OAF_calm_angry.wav,angry,1.490906856721553
Dataset\TESS\OAF_angry\OAF_came_angry.wav,angry,1.6347177848775294
Dataset\TESS\OAF_angry\OAF_cause_angry.wav,angry,1.695830261325469
Dataset\TESS\OAF_angry\OAF_chain_angry.wav,angry,1.6010485786843613
Dataset\TESS\OAF_angry\OAF_chair_angry.wav,angry,1.6135004505611534
Dataset\TESS\OAF_angry\OAF_chalk_angry.wav,angry,1.3952240517735726
Dataset\TESS\OAF_angry\OAF_chat_angry.wav,angry,1.4478168264110756
Dataset\TESS\OAF_angry\OAF_check_angry.wav,angry,1.6461866142377324
Dataset\TESS\OAF_angry\OAF_cheek_angry.wav,angry,1.681821905464078
Dataset\TESS\OAF_angry\OAF_chief_angry.wav,angry,1.6238223969853363
Dataset\TESS\OAF_angry\OAF_choice_angry.wav,angry,1.5256819857458834
Dataset\TESS\OAF_angry\OAF_cool_angry.wav,angry,1.4862374047677562
Dataset\TESS\OAF_angry\OAF_dab_angry.wav,angry,1.5671745719669041
Dataset\TESS\OAF_angry\OAF_date_angry.wav,angry,1.4569099696895225
Dataset\TESS\OAF_angry\OAF_dead_angry.wav,angry,1.4826329155402638
Dataset\TESS\OAF_angry\OAF_death_angry.wav,angry,1.6462275743425903
Dataset\TESS\OAF_angry\OAF_deep_angry.wav,angry,1.6120668468911281
Dataset\TESS\OAF_angry\OAF_dime_angry.wav,angry,1.6754730892111085
Dataset\TESS\OAF_angry\OAF_dip_angry.wav,angry,1.4326206275088065
Dataset\TESS\OAF_angry\OAF_ditch_angry.wav,angry,1.5464487589088227
Dataset\TESS\OAF_angry\OAF_dodge_angry.wav,angry,1.6458589333988696
Dataset\TESS\OAF_angry\OAF_dog_angry.wav,angry,1.6904235274842303
Dataset\TESS\OAF_angry\OAF_doll_angry.wav,angry,1.6325878594249201
Dataset\TESS\OAF_angry\OAF_door_angry.wav,angry,1.5396903416072745
Dataset\TESS\OAF_angry\OAF_fail_angry.wav,angry,1.5534529368395182
Dataset\TESS\OAF_angry\OAF_fall_angry.wav,angry,1.4274186941918572
